Category Name,Full URL
Find People,https://people.yellowpages.com/whitepages
Restaurants,https://www.yellowpages.com/los-angeles-ca/restaurants
Dentists,https://www.yellowpages.com/los-angeles-ca/dentists
Plumbers,https://www.yellowpages.com/los-angeles-ca/plumbers
Contractors,https://www.yellowpages.com/los-angeles-ca/contractors
Electricians,https://www.yellowpages.com/los-angeles-ca/electricians
Auto Repair,https://www.yellowpages.com/los-angeles-ca/auto-repair
Roofing,https://www.yellowpages.com/los-angeles-ca/roofing
Attorneys,https://www.yellowpages.com/los-angeles-ca/attorneys
Hotels,https://www.yellowpages.com/los-angeles-ca/hotels
